wreck_num,wreck_name,wdpa_gid,wdpa_name
707.0,Redbird Reef X,164292,Mid-Atlantic Coastal Waters Area
708.0,Ann E. Clark,164168,Waters off New Jersey
708.0,Ann E. Clark,164297,Southern Nearshore
708.0,Ann E. Clark,164292,Mid-Atlantic Coastal Waters Area
709.0,The Diver's Abyss,164168,Waters off New Jersey
709.0,The Diver's Abyss,164297,Southern Nearshore
709.0,The Diver's Abyss,164292,Mid-Atlantic Coastal Waters Area
710.0,Reinhart's Reef,164168,Waters off New Jersey
710.0,Reinhart's Reef,164297,Southern Nearshore
710.0,Reinhart's Reef,164292,Mid-Atlantic Coastal Waters Area
711.0,"Philip A. Cameron, Jr. Reef",164168,Waters off New Jersey
711.0,"Philip A. Cameron, Jr. Reef",164297,Southern Nearshore
711.0,"Philip A. Cameron, Jr. Reef",164292,Mid-Atlantic Coastal Waters Area
712.0,Michael De Palma I,164168,Waters off New Jersey
712.0,Michael De Palma I,164297,Southern Nearshore
712.0,Michael De Palma I,164292,Mid-Atlantic Coastal Waters Area
713.0,Michael De Palma II,164168,Waters off New Jersey
713.0,Michael De Palma II,164297,Southern Nearshore
713.0,Michael De Palma II,164292,Mid-Atlantic Coastal Waters Area
714.0,Capt. Ray Vandergrift Wreck,164168,Waters off New Jersey
714.0,Capt. Ray Vandergrift Wreck,164297,Southern Nearshore
714.0,Capt. Ray Vandergrift Wreck,164292,Mid-Atlantic Coastal Waters Area
715.0,Fallen Friends Wreck,164168,Waters off New Jersey
715.0,Fallen Friends Wreck,164297,Southern Nearshore
715.0,Fallen Friends Wreck,164292,Mid-Atlantic Coastal Waters Area
716.0,The Bass Barn-Maelstrom,164168,Waters off New Jersey
716.0,The Bass Barn-Maelstrom,164297,Southern Nearshore
716.0,The Bass Barn-Maelstrom,164292,Mid-Atlantic Coastal Waters Area
717.0,Pair of Kings,164168,Waters off New Jersey
717.0,Pair of Kings,164297,Southern Nearshore
717.0,Pair of Kings,164292,Mid-Atlantic Coastal Waters Area
718.0,Laita,164168,Waters off New Jersey
718.0,Laita,164297,Southern Nearshore
718.0,Laita,164292,Mid-Atlantic Coastal Waters Area
719.0,Peggy Diana,164168,Waters off New Jersey
719.0,Peggy Diana,164297,Southern Nearshore
719.0,Peggy Diana,164292,Mid-Atlantic Coastal Waters Area
720.0,Winthrop,164168,Waters off New Jersey
720.0,Winthrop,164297,Southern Nearshore
720.0,Winthrop,164292,Mid-Atlantic Coastal Waters Area
721.0,Captain Henry,164168,Waters off New Jersey
721.0,Captain Henry,164297,Southern Nearshore
721.0,Captain Henry,164292,Mid-Atlantic Coastal Waters Area
722.0,Lisa Michelle,164168,Waters off New Jersey
722.0,Lisa Michelle,164297,Southern Nearshore
722.0,Lisa Michelle,164292,Mid-Atlantic Coastal Waters Area
723.0,Becky Lee,164168,Waters off New Jersey
723.0,Becky Lee,164297,Southern Nearshore
723.0,Becky Lee,164292,Mid-Atlantic Coastal Waters Area
724.0,Wyoming,164168,Waters off New Jersey
724.0,Wyoming,164297,Southern Nearshore
724.0,Wyoming,164292,Mid-Atlantic Coastal Waters Area
725.0,Sea Transporter,164168,Waters off New Jersey
725.0,Sea Transporter,164297,Southern Nearshore
725.0,Sea Transporter,164292,Mid-Atlantic Coastal Waters Area
726.0,Salt Barge,164168,Waters off New Jersey
726.0,Salt Barge,164297,Southern Nearshore
726.0,Salt Barge,164292,Mid-Atlantic Coastal Waters Area
727.0,Onandaga,164168,Waters off New Jersey
727.0,Onandaga,164297,Southern Nearshore
727.0,Onandaga,164292,Mid-Atlantic Coastal Waters Area
728.0,Celia Brown,164168,Waters off New Jersey
728.0,Celia Brown,164297,Southern Nearshore
728.0,Celia Brown,164292,Mid-Atlantic Coastal Waters Area
729.0,Cape Strait,164168,Waters off New Jersey
729.0,Cape Strait,164297,Southern Nearshore
